鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
永和區,房地(土地+建物)+車位,新北市永和區保安路134號旁,6.72,住,,,1150306,土地156建物1車位1,八層,35,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,100.83,2,2,1,有,無,20910000,256583,坡道平面,28.3,2300000,契約上土地持分面積為6.72平方公尺,RPTNMLNLLHLGFHF88CB,漢皇River Sky,D棟D1-08F號,
永和區,房地(土地+建物)+車位,新北市永和區保安路134號旁,14.68,住,,,1150305,土地156建物1車位1,二十一層,36,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,186.92,4,2,2,有,無,50610000,301097,坡道平面,28.3,2850000,契約上土地持分面積為14.68平方公尺,RPXNMLNLLHLGFHF66CB,漢皇River Sky,E棟E6-21F號,
永和區,房地(土地+建物)+車位,新北市永和區保安路134號旁,10.35,住,,,1150310,土地156建物1車位1,二十五層,36,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,140.04,3,2,2,有,無,32080000,264722,坡道平面,28.3,2500000,契約上土地持分面積為10.35平方公尺,RPOOMLNLLHLGFHF48CB,漢皇River Sky,F棟F8-25F號,
中和區,房地(土地+建物)+車位,新北市中和區復興路49巷6號旁,21.23,住,,,1150305,土地3建物1車位1,六層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,150.52,3,2,2,有,無,28500000,211672,坡道平面,26.98,2350000,,RPPOMLNLLHLGFHF58CB,豐森大境,丙棟F05-06F號,
中和區,房地(土地+建物)+車位,新北市中和區復興路49巷6號旁,21.23,住,,,1150306,土地3建物1車位1,五層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,150.52,3,2,2,有,無,28600000,211268,坡道平面,26.98,2500000,,RPQOMLNLLHLGFHF68CB,豐森大境,丙棟F05-05F號,
中和區,房地(土地+建物),新北市中和區復興路49巷6號旁,19.18,住,,,1150307,土地3建物1車位0,三層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,111.61,3,2,2,有,無,23350000,209211,,0.0,0,,RPROMLNLLHLGFHF78CB,豐森大境,丙棟G05-03F號,
中和區,房地(土地+建物),新北市中和區復興路49巷6號旁,16.71,住,,,1150307,土地3建物1車位0,二層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,97.22,3,2,2,有,無,20000000,205719,,0.0,0,,RPTOMLNLLHLGFHF98CB,豐森大境,乙棟D06-02F號,
中和區,房地(土地+建物),新北市中和區復興路49巷6號旁,9.13,住,,,1150308,土地3建物1車位0,六層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,53.17,0,0,0,無,無,11930000,224375,,0.0,0,,RPUOMLNLLHLGFHF09CB,豐森大境,甲棟B02-06F號,
中和區,房地(土地+建物)+車位,新北市中和區復興路49巷6號旁,21.09,住,,,1150307,土地3建物1車位1,十層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,149.64,3,2,2,有,無,29240000,215963,坡道平面,26.98,2750000,,RPVOMLNLLHLGFHF56CB,豐森大境,乙棟C01-10F號,
三峽區,房地(土地+建物)+車位,新北市三峽區愛國路,13.2,商,,,1150305,土地2建物1車位1,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,130.8,2,2,2,有,無,15640000,158825,升降平面,43.66,1800000,,RPRNMLNLLHLGFIF78CB,立信園立方,A棟6號,
