鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉大福路二段99巷,82.31,,特定農業區,甲種建築用地,1150307,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,135.2,4,2,3,有,無,8550000,63240,,0.0,0,同段63地號，農地持分以贈與方式辦理。,RPSNMLKKLHLGFBG87CB,宗硯大砌系列18-透天,E棟2號,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉大福路二段99巷,80.31,,特定農業區,甲種建築用地,1150301,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,135.2,4,2,3,有,無,8550000,63240,,0.0,0,同段63地號，農地持分以贈與方式辦理。,RPUNMLKKLHLGFBG08CB,宗硯大砌系列18-透天,E棟4號,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉大福路二段99巷,83.31,,特定農業區,甲種建築用地,1150307,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,129.25,4,2,3,有,無,8580000,66383,,0.0,0,同段63地號，農地持分以贈與方式辦理。,RPXNMLKKLHLGFBG38CB,宗硯大砌系列18-透天,E棟7號,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市梅洲一路與水源路69巷,46.15,住,,,1150308,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,121.84,3,2,2,有,無,9960000,82894,一樓平面,13.75,1000000,,RPQOMLKKLHLGFBG77CB,太子興．賞,B棟B2-3F號,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉大福路二段99巷,93.31,,特定農業區,甲種建築用地,1150307,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,136.4,4,2,3,有,無,8880000,65103,,0.0,0,同段63地號，農地持分以贈與方式辦理。,RPSOMLKKLHLGFBG97CB,宗硯大砌系列18-透天,G棟1號,
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮二城路16巷39弄,31.07,,鄉村區,乙種建築用地,1150307,土地3建物1車位0,四層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,69.08,2,2,2,有,無,4830000,69919,,0.0,0,,RPUOMLKKLHLGFBG18CB,宜林臻品,C棟C4號,
五結鄉,房地(土地+建物)+車位,宜蘭縣五結鄉二結路,49.01,住,,,1150308,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,121.47,3,2,2,有,無,10380000,91303,一樓平面,19.83,1100000,,RPPNMLLKLHLGFAG57CB,夢想家園第五期,5F-A1號,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉中央路3段123巷10號旁,78.76,,特定農業區,農牧用地,1150301,土地2建物1車位0,四層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,86.89,3,2,2,有,無,6438000,74094,,0.0,0,交易總價包含五權段1772地號農地持分交易價款40萬元整,RPSNMLLKLHLGFBG97CB,群邦碩玉,1棟4B號,
員山鄉,房地(土地+建物),宜蘭縣員山鄉惠深二路一段66巷,97.72,,鄉村區,乙種建築用地,1150308,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,170.41,4,2,4,有,無,13180000,77343,,0.0,0,,RPPNMLLKLHLGFBG77DB,文風翠庭第21期,A10棟0號,
蘇澳鎮,房地(土地+建物)+車位,宜蘭縣蘇澳鎮和平路,38.15,住,,,1150307,土地3建物1車位1,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,154.88,3,2,2,有,無,9270000,66830,坡道平面,32.63,1100000,,RPPNMLQKLHLGFAG08CB,好室多,A棟A2-8F號,
