鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
中山區,租賃房屋,基隆市中山區復興路２４１號８樓之８,0.0,,,,1150303,土地0建物1車位0,八層,13,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1130116,86.38,2,1,1,有,有,有,17600,204,,0.0,0,續租案件；,RPXNMLQJLHLGFDC78CC,整棟(戶)出租,有,1150315~1160624,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅包租轉租
暖暖區,租賃房屋,基隆市暖暖區碇內街３７７號２樓,0.0,,,,1150303,土地0建物1車位0,二層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840517,74.64,2,1,1,有,有,有,7500,100,,0.0,0,續租案件；,RPOOMLQJLHLGFDC97CC,整棟(戶)出租,有,1150315~1160314,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅包租轉租
仁愛區,租賃房屋,基隆市仁愛區成功一路１３３巷２５號８樓,0.0,,,,1150304,土地0建物1車位0,八層,14,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,0860630,168.57,3,2,2,有,有,有,14700,87,,0.0,0,管理費300元由出租人負擔。續租案件；,RPPOMLQJLHLGFDC08CC,整棟(戶)出租,有,1150312~1160311,有,熱水器、瓦斯或天然氣,社會住宅代管
中正區,租賃房屋,基隆市中正區新豐街３５４號１４樓,0.0,,,,1150303,土地0建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850309,81.58,2,1,1,有,有,有,13500,165,,0.0,0,續租案件；,RPQOMLQJLHLGFDC18CC,整棟(戶)出租,有,1150310~1160309,有,冷氣、熱水器、瓦斯或天然氣,社會住宅包租轉租
仁愛區,租賃房屋,基隆市仁愛區延平街６３-９號,0.0,,,,1150307,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720131,83.13,3,2,1,有,無,有,13000,156,,0.0,0,本案租賃面積包含陽台外推使用面積3.51m2含增建或未登記建物；,RPPNMLSJLHLGFDC18CC,分層出租,無,1150321~1180320,無,冷氣、熱水器、瓦斯或天然氣,一般轉租
仁愛區,租賃房屋,基隆市仁愛區南新街２３８之１號,0.0,,,,1150306,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691015,72.74,2,1,1,有,無,無,10000,137,,0.0,0,續租案件；,RPQNMLTJLHLGFDC38CC,整棟(戶)出租,無,1150403~1160402,無,冷氣、熱水器、瓦斯或天然氣,社會住宅包租轉租
中山區,租賃房屋,基隆市中山區西定路３６８巷６號,0.0,,,,1150303,土地0建物1車位0,一層,2,公寓(5樓含以下無電梯),住家用,加強磚造,0580203,51.59,1,1,1,有,無,有,7000,136,,0.0,0,,RPRNMLTJLHLGFDC48CC,獨立套房,無,1150305~1160304,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
安樂區,租賃房屋,基隆市安樂區中和路１６８巷１弄２４號３樓,0.0,,,,1150304,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0870710,98.13,3,2,1,有,無,有,15000,153,,0.0,0,續租案件；,RPSNMLTJLHLGFDC58CC,整棟(戶)出租,無,1150315~1160314,無,冷氣、熱水器、冰箱、瓦斯或天然氣,社會住宅包租轉租
安樂區,租賃房屋,基隆市安樂區基金一路１１２巷１１０弄１５之７號２樓,0.0,,,,1150303,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0851107,114.79,3,1,2,有,有,無,14000,122,,0.0,0,,RPTNMLTJLHLGFDC68CC,整棟(戶)出租,有,1150306~1160305,有,冷氣、熱水器、瓦斯或天然氣,社會住宅包租轉租
中正區,租賃房屋,基隆市中正區中船路６８號４樓,0.0,,,,1150303,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0640113,34.77,1,0,1,有,無,有,7300,210,,0.0,0,,RPUNMLTJLHLGFDC78CC,獨立套房,無,1150304~1160303,無,冷氣、熱水器、冰箱,社會住宅代管
